name,signing_date,signing_age,signing_status,contract_type,length,cap_hit_pct,player_id
ALEX.GOLIGOSKI,"(19, 6, 2009)",23,0,STANDARD CONTRACT,3,0.0323,136
ALEX.GOLIGOSKI,"(23, 1, 2012)",26,0,STANDARD CONTRACT,4,0.07150000000000001,136
ALEX.GOLIGOSKI,"(21, 6, 2016)",30,1,STANDARD CONTRACT,5,0.075,136
RADKO.GUDAS,"(7, 5, 2013)",22,0,STANDARD CONTRACT,3,0.0154,137
RADKO.GUDAS,"(23, 6, 2016)",26,0,STANDARD CONTRACT,4,0.0459,137
KEITH.YANDLE,"(17, 7, 2009)",22,0,STANDARD CONTRACT,2,0.0211,138
KEITH.YANDLE,"(5, 7, 2011)",24,0,STANDARD CONTRACT,5,0.0816,138
KEITH.YANDLE,"(23, 6, 2016)",29,1,STANDARD CONTRACT,7,0.087,138
TREVOR.LEWIS,"(18, 7, 2010)",23,0,STANDARD CONTRACT,1,0.013500000000000002,139
TREVOR.LEWIS,"(15, 7, 2011)",24,0,STANDARD CONTRACT,2,0.0113,139
TREVOR.LEWIS,"(23, 7, 2013)",26,0,STANDARD CONTRACT,1,0.0206,139
TREVOR.LEWIS,"(8, 4, 2014)",27,1,STANDARD CONTRACT,2,0.0237,139
TREVOR.LEWIS,"(25, 6, 2016)",29,1,STANDARD CONTRACT,4,0.0274,139
FILIP.FORSBERG,"(27, 6, 2016)",21,0,STANDARD CONTRACT,6,0.08220000000000001,140
ANDREW.SHAW,"(12, 11, 2013)",22,0,STANDARD CONTRACT,2,0.0311,141
ANDREW.SHAW,"(27, 6, 2016)",24,0,STANDARD CONTRACT,6,0.0534,141
SETH.JONES,"(29, 6, 2016)",21,0,STANDARD CONTRACT,6,0.07400000000000001,143
STEVEN.STAMKOS,"(18, 7, 2011)",21,0,STANDARD CONTRACT,5,0.1166,144
STEVEN.STAMKOS,"(29, 6, 2016)",26,1,STANDARD CONTRACT,8,0.1164,144
TOREY.KRUG,"(5, 10, 2014)",23,0,STANDARD CONTRACT,1,0.0203,145
TOREY.KRUG,"(6, 3, 2015)",23,0,STANDARD CONTRACT,1,0.0493,145
TOREY.KRUG,"(30, 6, 2016)",25,0,STANDARD CONTRACT,4,0.0719,145
DAVID.SCHLEMKO,"(13, 4, 2010)",22,0,STANDARD CONTRACT,3,0.0093,147
DAVID.SCHLEMKO,"(25, 2, 2013)",25,0,STANDARD CONTRACT,2,0.018500000000000003,147
DAVID.SCHLEMKO,"(10, 9, 2015)",28,1,STANDARD CONTRACT,1,0.0088,147
DAVID.SCHLEMKO,"(1, 7, 2016)",29,1,STANDARD CONTRACT,4,0.0288,147
DALE.WEISE,"(28, 6, 2011)",22,0,STANDARD CONTRACT,1,0.0094,148
DALE.WEISE,"(25, 7, 2012)",23,0,STANDARD CONTRACT,1,0.0103,148
DALE.WEISE,"(24, 7, 2013)",24,0,STANDARD CONTRACT,1,0.0117,148
DALE.WEISE,"(18, 6, 2014)",25,0,STANDARD CONTRACT,2,0.0159,148
DALE.WEISE,"(1, 7, 2016)",27,1,STANDARD CONTRACT,4,0.0322,148
MATT.MARTIN,"(15, 9, 2012)",23,0,STANDARD CONTRACT,4,0.0167,150
MATT.MARTIN,"(1, 7, 2016)",27,1,STANDARD CONTRACT,4,0.0342,150
MIKKEL.BOEDKER,"(18, 8, 2011)",21,0,STANDARD CONTRACT,2,0.0171,151
MIKKEL.BOEDKER,"(7, 9, 2013)",23,0,STANDARD CONTRACT,2,0.0397,151
MIKKEL.BOEDKER,"(7, 7, 2015)",25,0,STANDARD CONTRACT,1,0.0525,151
MIKKEL.BOEDKER,"(1, 7, 2016)",26,1,STANDARD CONTRACT,4,0.0548,151
DARREN.HELM,"(4, 8, 2010)",23,0,STANDARD CONTRACT,2,0.0154,153
DARREN.HELM,"(19, 7, 2012)",25,0,STANDARD CONTRACT,4,0.0354,153
DARREN.HELM,"(1, 7, 2016)",29,1,STANDARD CONTRACT,5,0.0527,153
DAVID.BACKES,"(1, 7, 2008)",24,0,STANDARD CONTRACT,3,0.0441,154
DAVID.BACKES,"(12, 11, 2010)",26,1,STANDARD CONTRACT,5,0.0758,154
DAVID.BACKES,"(1, 7, 2016)",32,1,STANDARD CONTRACT,5,0.08220000000000001,154
FRANS.NIELSEN,"(19, 7, 2008)",24,0,STANDARD CONTRACT,4,0.0093,155
FRANS.NIELSEN,"(6, 2, 2012)",27,1,STANDARD CONTRACT,4,0.042800000000000005,155
FRANS.NIELSEN,"(1, 7, 2016)",32,1,STANDARD CONTRACT,6,0.0719,155
LOUI.ERIKSSON,"(27, 6, 2008)",22,0,STANDARD CONTRACT,2,0.0282,156
LOUI.ERIKSSON,"(2, 10, 2009)",24,0,STANDARD CONTRACT,6,0.0748,156
LOUI.ERIKSSON,"(1, 7, 2016)",30,1,STANDARD CONTRACT,6,0.08220000000000001,156
ANDREW.LADD,"(23, 6, 2008)",22,0,STANDARD CONTRACT,2,0.0273,157
ANDREW.LADD,"(29, 7, 2010)",24,0,STANDARD CONTRACT,1,0.0396,157
ANDREW.LADD,"(5, 7, 2011)",25,0,STANDARD CONTRACT,5,0.0684,157
ANDREW.LADD,"(1, 7, 2016)",30,1,STANDARD CONTRACT,7,0.0753,157
MILAN.LUCIC,"(9, 10, 2009)",21,0,STANDARD CONTRACT,3,0.0719,158
MILAN.LUCIC,"(15, 9, 2012)",24,0,STANDARD CONTRACT,3,0.1,158
MILAN.LUCIC,"(1, 7, 2016)",28,1,STANDARD CONTRACT,7,0.08220000000000001,158
KYLE.OKPOSO,"(26, 5, 2011)",23,0,STANDARD CONTRACT,5,0.0471,159
KYLE.OKPOSO,"(1, 7, 2016)",28,1,STANDARD CONTRACT,7,0.08220000000000001,159
VICTOR.HEDMAN,"(1, 12, 2011)",20,0,STANDARD CONTRACT,5,0.0622,160
VICTOR.HEDMAN,"(1, 7, 2016)",25,1,STANDARD CONTRACT,8,0.1079,160
AARON.EKBLAD,"(1, 7, 2016)",20,0,STANDARD CONTRACT,8,0.1027,161
JASON.DEMERS,"(30, 7, 2010)",22,0,STANDARD CONTRACT,2,0.021,163
JASON.DEMERS,"(27, 6, 2013)",25,0,STANDARD CONTRACT,1,0.0233,163
JASON.DEMERS,"(17, 7, 2014)",26,0,STANDARD CONTRACT,2,0.0493,163
JASON.DEMERS,"(2, 7, 2016)",28,1,STANDARD CONTRACT,5,0.0616,163
VINCENT.TROCHECK,"(2, 7, 2016)",22,0,STANDARD CONTRACT,6,0.06509999999999999,164
